,genes,in_group_fraction,out_group_fraction,in_out_group_ratio,in_group_mean_exp,out_group_mean_exp,fold_change,pvals_adj,target_dmain,neighbors
131,Rpl9-ps6,0.9576587795765878,0.8549287042777434,1.1201621547911793,1.6563279628753662,1.2394797801971436,1.5171722173690796,0.0138470254118625,26,[14]
104,Eef1b2,0.9576587795765878,0.8369497830130193,1.1442248973755824,1.8407368659973145,1.3374803066253662,1.6540991067886353,0.0038493635546148,26,[14]
47,Rpl10-ps3,0.9576587795765878,0.8257904525728457,1.159687395988766,1.7978730201721191,1.2188085317611694,1.7843682765960691,9.72283093095905e-07,26,[14]
87,Cd24a,0.9564134495641344,0.8357098574085555,1.1444324140556,1.7356623411178589,1.225611686706543,1.665375590324402,0.0009851914612125,26,[14]
160,Rpl36,0.9551681195516812,0.8629882207067576,1.106814782210389,1.7965060472488403,1.3732753992080688,1.5268864631652832,0.0319834200417435,26,[14]
94,Nup210l,0.9526774595267746,0.8140111593304402,1.170349384780417,1.6961907148361206,1.2067065238952637,1.6314743757247925,0.0016994097778184,26,[14]
115,Rpl34,0.9489414694894148,0.8112213267203968,1.1697688882586366,1.73170006275177,1.2366279363632202,1.640616536140442,0.0058111947562332,26,[14]
74,Rpl4,0.946450809464508,0.8220706757594545,1.151301022372739,1.832333207130432,1.2802135944366455,1.7369307279586792,0.0001750785722802,26,[14]
125,Gm26825,0.9452054794520548,0.842529448233106,1.1218664005564123,1.654581069946289,1.215953707695007,1.5505774021148682,0.01183369306096,26,[14]
53,Prdx1,0.9439601494396016,0.7771233725976442,1.2146850586725784,1.7191267013549805,1.1373661756515503,1.7891855239868164,1.9894596126849504e-06,26,[14]
92,Rpl28,0.9439601494396016,0.7972721636701798,1.1839873414044146,1.809861421585083,1.2524358034133911,1.7461713552474976,0.0014748567469692,26,[14]
107,Rpl19,0.9414694894146948,0.7833230006199629,1.201891797725289,1.576418399810791,1.1082314252853394,1.597095966339111,0.0044344478628411,26,[14]
