FSV,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval
0.06438164970430983,4,MT-ND4L,9.680925059361718,13.573514260212399,-1217.684933309156,-2.9759928100252697,0.048299001602288304,SE,3639,1.9240595710383226e-05,0.004358324582846661,0.010041236877441406,2468.1677234087606,-1341.048252409667,123.36331910051103,0.0,0.0
0.10831168217180062,4,MT-ND5,9.680925059361718,7.689417634464023,355.1390758442021,-2.036785338104986,0.025854165528502268,SE,3639,3.563937332357821e-05,0.003377350783350096,0.011359453201293945,-677.4802948979556,153.1960118453503,201.9430639988518,0.0,0.0
0.45169272063195415,4,MT-CYB,9.680925059361718,1.1338003671306605,4487.822130390641,-0.6663826721841933,0.006467174228036093,SE,3639,0.00010484710733774506,0.001993080849129191,0.0063054561614990234,-8942.846403990834,3691.334354929824,796.4877754608174,0.0,0.0
0.008188659544954704,4,SAMD11,18.621935679469626,96.75410231263429,3939.302637574565,-0.6567635155849055,0.0006640818703802172,SE,3639,8.706638743171449e-06,0.09726819508274347,0.021816492080688477,-7845.807418358681,3930.062670238944,9.239967335620804,0.0023678917751311923,0.01393377568721129
0.01151263140843069,4,ACAP3,18.621935679469626,68.58823969067069,-2273.135315312007,-2.5637448736139152,0.01258750874758502,SE,3639,2.2530654222863386e-05,0.1291006374835918,0.02571702003479004,4579.068487414463,-2281.1363602617407,8.001044949733569,0.004675036279143452,0.02543479303348112
0.009462108285376825,4,DVL1,18.621935679469626,83.62503507489274,-1922.0571949247005,-2.1339744947725348,0.008454644830677462,SE,3639,1.732561024172654e-05,0.14572824044316407,0.019321680068969727,3876.91224663985,-1931.9579671816994,9.900772256998835,0.0016520942859272747,0.01011108621020664
0.1462702902601843,4,VWA1,18.621935679469626,4.662484543803845,-1506.064438576896,-0.9402630479338974,0.02987851980375979,SE,3639,0.0003019873609304779,0.01808375420716502,0.011385202407836914,3044.926733944241,-1813.3969750628642,307.33253648596815,0.0,0.0
0.013436371356427678,4,SSU72,18.621935679469626,58.65381097223486,-2497.8205991495515,-3.424972567854486,0.021516096874986512,SE,3639,2.325376238188656e-05,0.09859873246255486,0.02295970916748047,5028.439055089551,-2511.8172367581533,13.996637608601759,0.0001831378411560891,0.0013599568682225232
0.02722615198549498,4,GNB1,18.621935679469626,28.541628906114276,-2299.8520659275764,-4.45023988693603,0.03978196919463317,SE,3639,4.06561249583012e-05,0.044415971342158654,0.008739471435546875,4632.501988645601,-2333.0310646737653,33.17899874618888,8.405345086615057e-09,1.0679941642823782e-07
0.0850801229176611,4,GABRD,18.621935679469626,8.590295183829552,-2400.7149978172597,-4.371813384399602,0.060293275985110424,SE,3639,0.00012509228381448208,0.017582540264272965,0.010039806365966797,4834.227852424968,-2581.0981979362004,180.38320011894075,0.0,0.0
0.006012893225388808,4,PRKCZ,18.621935679469626,132.05364474743382,-2546.6598895618445,-3.7974166876232704,0.02044544648957197,SE,3639,5.7933010860122456e-06,0.11895797519780858,0.028352022171020508,5126.117635914137,-2553.710540620229,7.050651058384574,0.007923644643922256,0.04041198154695993
0.0073594125654671775,4,RER1,18.621935679469626,107.74621232954637,-1954.218903461524,-2.306975359941535,0.008772035733817993,SE,3639,6.075805909462474e-06,0.08374788812948909,0.028497934341430664,3941.2356637134967,-1963.7907988790612,9.571895417537235,0.0019757868738300433,0.01182077766081686
0.013231807190776237,4,PLCH2,18.621935679469626,59.57295068285083,-674.839808488543,-1.4745802197597644,0.004670354950590372,SE,3639,1.5084948346899101e-05,0.06589952987848977,0.02689218521118164,1382.4774737675345,-689.233301480182,14.39349299163905,0.00014831392818948075,0.0011207460709372749
0.012377534128198076,4,TNFRSF14,18.621935679469626,63.739692095587785,5.034014473471871,-1.1611083578797956,0.0029081191374307723,SE,3639,1.5499541791059657e-05,0.07710829589549227,0.028113603591918945,22.7298278435049,-6.949500634836568,11.983515108308438,0.0005367324347714808,0.003629889647010427
0.02361341836504565,4,TPRG1L,18.621935679469626,33.030570426408616,-2457.5728733100004,-3.5440851787953784,0.027110732921393804,SE,3639,2.4942222357128342e-05,0.035697103896590275,0.010069847106933594,4947.943603410449,-2488.110293535218,30.537420225217375,3.2748847855756935e-08,3.90258907362391e-07
0.04499994882534997,4,KCNAB2,18.621935679469626,16.95291982793564,-2515.72940329227,-3.8049081262756763,0.03873001155151522,SE,3639,5.6449242482703094e-05,0.024245369587065326,0.029836416244506836,5064.256663374988,-2597.587951137134,81.858547844864,0.0,0.0
0.038964733727138254,4,CHD5,18.621935679469626,19.702473196940623,-2366.5828671767067,-3.2868606470782655,0.029271936882448987,SE,3639,4.17294726606959e-05,0.02333591749286185,0.008397579193115234,4765.963591143862,-2430.8006405941937,64.21777341748702,1.1102230246251565e-15,2.4531030801460262e-14
0.041448303678948695,4,RPL22,18.621935679469626,18.474041380915057,-2136.074322556582,-3.4930871817294276,0.031140097215314456,SE,3639,4.064286980529523e-05,0.020286718521416537,0.009693622589111328,4304.946501903612,-2216.189362020495,80.11503946391304,0.0,0.0
0.04304403382050998,4,ACOT7,18.621935679469626,17.759556807148524,-2382.045044112172,-4.716062730998879,0.05049862658800556,SE,3639,5.145271802726167e-05,0.023965735469522034,0.008747100830078125,4796.887945014792,-2460.639405815514,78.59436170334175,0.0,0.0
0.016997619246981083,4,PLEKHG5,18.621935679469626,46.19762042602112,-940.9124202204694,-1.5765604958116441,0.005967635143524377,SE,3639,3.4273129280861294e-05,0.09214379529068356,0.02294635772705078,1914.6226972313873,-955.6326518627861,14.720231642316776,0.00012470097948924508,0.0009543118252084418
0.011807654764503404,4,CAMTA1,18.621935679469626,66.85455032497674,-2497.1186616901578,-3.6296224831976245,0.022809674087934072,SE,3639,9.85230394257562e-06,0.05373311920678683,0.02462625503540039,5027.035180170764,-2516.6766591770565,19.557997486898785,9.759133538511655e-06,8.775919087250131e-05
0.07805122337052732,4,VAMP3,18.621935679469626,9.435832242178778,-1114.6148591000983,-1.081836128050513,0.013418078207736236,SE,3639,8.250547724325293e-05,0.013410692635393916,0.010112524032592773,2262.0275749906455,-1262.6246548011432,148.00979570104482,0.0,0.0
0.006605318368632419,4,SLC45A1,18.621935679469626,120.13822437761426,-844.9014789991488,-1.5493467464337658,0.003942266281608574,SE,3639,6.540680662902025e-06,0.11156702430457276,0.023082733154296875,1722.6008147887462,-852.4047470968821,7.503268097733326,0.006158713493707668,0.032592193804387805
0.021147147837545836,4,ENO1,18.621935679469626,36.975899048568394,-1969.8182111784718,-3.975505689193752,0.029871364764511684,SE,3639,3.2482058500401e-05,0.057384324268397534,0.010037422180175781,3972.4342791473923,-1998.2038640827523,28.385652904280505,9.939922585022742e-08,1.1357211926993665e-06
0.04619907118561904,4,RBP7,18.621935679469626,16.492163434216355,432.0960390786531,-0.81273281780684,0.003916168299763967,SE,3639,4.4116301569571245e-05,0.01806343557013943,0.008695602416992188,-831.3942213668576,346.5421813390117,85.55385773964144,0.0,0.0
0.02200913565613811,4,FBXO2,18.621935679469626,35.49645183882749,-2528.5273539141654,-3.4396497489523408,0.025549469098085757,SE,3639,2.624037272789336e-05,0.042948031698766154,0.01004648208618164,5089.852564618779,-2560.759189250515,32.23183533634983,1.368303237381241e-08,1.7014143013781913e-07
0.018972924235448493,4,NPPA,18.621935679469626,41.30473637007563,1170.2864230182122,-0.9677051324466613,0.0022140499103073617,SE,3639,3.9678230948711796e-05,0.08631418016662182,0.02161884307861328,-2307.7749892459756,1159.50555060516,10.780872413052293,0.0010255433425810923,0.006510755798146864
0.012452923781111463,4,PLEKHM2,18.621935679469626,63.348977698322585,-1997.0145875501194,-2.3255345431404133,0.010773911069804616,SE,3639,4.196485739631473e-05,0.20631383665607644,0.020507335662841797,4026.8270318906875,-2005.2924117285927,8.277824178473338,0.004013219121887346,0.02222307763133564
0.008838807928064392,4,SZRD1,18.621935679469626,89.57848765371776,-393.07889004659955,-1.0449717721109295,0.002335229091348218,SE,3639,1.0543907914486948e-05,0.10137413945260043,0.02757406234741211,818.9556368836478,-402.75052123002797,9.671631183428417,0.0018713509011979435,0.011254321797397906
0.0281793327369282,4,ATP13A2,18.621935679469626,27.549172528010615,-2446.054616130805,-3.5531901746437713,0.028931497216183644,SE,3639,3.559137805320424e-05,0.036437276196269124,0.010142326354980469,4924.907089052058,-2481.989078461469,35.934462330664246,2.04067207576486e-09,2.756053747268946e-08
0.19278102729504562,4,PADI2,18.621935679469626,3.344877398134812,-1619.6999844255274,-1.0184595508976522,0.04374499206159998,SE,3639,0.00025537292378551805,0.010434854858246016,0.010222196578979492,3272.1978256415036,-2014.1382633857397,394.4382789602123,0.0,0.0
0.02011250870668767,4,IGSF21,18.621935679469626,38.91912806362376,-2200.116676931313,-2.6889696251219113,0.016473187114722794,SE,3639,5.834002352165946e-05,0.11346295660620892,0.021837234497070312,4433.031210653075,-2213.2902122850405,13.173535353727402,0.0002839305605584208,0.0020306497448902526
0.01715433326588155,4,MINOS1,18.621935679469626,45.7682827099643,-2438.473925444341,-4.146431689609489,0.031565426954725216,SE,3639,1.937049977581137e-05,0.05116351784210598,0.02308964729309082,4909.745707679131,-2460.2781790846907,21.804253640349543,3.019300186313245e-06,2.911122051295605e-05
0.02785940998386619,4,NBL1,18.621935679469626,27.874705993800312,-2526.76309815243,-3.634042782861171,0.030131422794818747,SE,3639,4.220721638916159e-05,0.04415122692770917,0.008746147155761719,5086.324053095308,-2561.2211162301755,34.45801807774569,4.355448779413962e-09,5.694615046615934e-08
0.14849334197802916,4,CAMK2N1,18.621935679469626,4.580724786267745,-892.0996302218268,-3.4615296601349965,0.04356700611707715,SE,3639,0.00029214262725921555,0.017114301972051556,0.010006427764892578,1816.9971172341022,-1073.0478350307367,180.94820480890985,0.0,0.0
0.04320553952377473,4,PINK1,18.621935679469626,17.690184106808502,-2359.5648736499315,-4.506547809241583,0.047071474786154,SE,3639,5.725568777224041e-05,0.026486708817071564,0.00870370864868164,4751.927604090311,-2427.41989008376,67.8550164338285,2.220446049250313e-16,5.152463612353043e-15
0.012750832602566223,4,KIF17,18.621935679469626,61.850236579979075,-723.7014602466861,-1.6769057998397772,0.005586274316099768,SE,3639,1.6432305791561663e-05,0.07715055678117194,0.025660991668701172,1480.2007772838208,-735.9539602210339,12.252499974347757,0.0004646352408781418,0.003181683780111241
0.010286168021962762,4,SH2D5,18.621935679469626,76.8615536698193,-650.458966313051,-1.5175688645250145,0.00439382504529758,SE,3639,1.0333767524365327e-05,0.07380052563818662,0.02808666229248047,1333.7157894165505,-663.1276189133232,12.668652600272253,0.0003718374000012403,0.002599545685157954
0.00969880403668339,4,EIF4G3,18.621935679469626,81.56470170186655,-2284.679129848302,-3.2123354109299918,0.017189765422083714,SE,3639,1.9630080179031468e-05,0.15730447779109913,0.020398855209350586,4602.156116487053,-2296.750531706751,12.071401858449008,0.0005120118585187905,0.0034796735051239322
0.01109740800054144,4,ALPL,18.621935679469626,71.18444365083613,412.2119466731365,-1.1409724868938045,0.002547436730343023,SE,3639,1.6758249667947372e-05,0.10316829864943963,0.025519132614135742,-791.6260365558243,401.9726951964076,10.239251476728896,0.0013748336608645495,0.008547672725995803
0.011107296793914357,4,C1QB,18.621935679469626,71.12035715794623,-657.4964466147967,-0.8963153400215522,0.002344769030347935,SE,3639,1.7653533988441903e-05,0.10849090305074124,0.023437023162841797,1347.790750020042,-665.5540500392076,8.0576034244109,0.004531308268977519,0.024727447969026834
0.01645082754682384,4,LUZP1,18.621935679469626,47.7596857820888,-1428.4163302141696,-1.9375655269978544,0.008468862487665334,SE,3639,1.859477513552819e-05,0.05325140763680136,0.024287700653076172,2889.630517218788,-1447.671285382063,19.254955167893286,1.1437314126894194e-05,0.00010218769757576923
0.04891847293327194,4,ID3,18.621935679469626,15.530948809640698,-419.7074036128315,-0.8333407789739762,0.005905882837051232,SE,3639,8.279436206951912e-05,0.030564365805237213,0.010010480880737305,872.2126640161117,-467.97758117167905,48.270177558847536,3.713584995068686e-12,6.322562555343571e-11
0.07878712948374816,4,RPL11,18.621935679469626,9.340236059262864,-1694.3052740488756,-3.259248601728009,0.035094541172546116,SE,3639,6.772849460156944e-05,0.010834904665614502,0.01139974594116211,3421.4084048882,-1876.8703463961258,182.56507234725018,0.0,0.0
0.07249383358738441,4,CLIC4,18.621935679469626,10.220423040573667,-1121.872905893586,-0.9567759240812745,0.012122021488395123,SE,3639,7.150259917809534e-05,0.013185203799376417,0.011482477188110352,2276.543668577621,-1283.8497287240066,161.9768228304206,0.0,0.0
