Unnamed: 0,combined_pvalue,adjusted_pvalue,genes
444,2055,1.314931185048e-07,3.80766034595076e-06,MEF2D
447,2062,5.55e-17,3.0053560136053704e-15,HAPLN2
448,2064,5.55e-17,3.0053560136053704e-15,BCAN
449,2069,5.55e-17,3.0053560136053704e-15,CRABP2
450,2073,3.05683193995154e-05,0.0007330206631885,MRPL24
451,2074,0.0009958599854345,0.0201257442758585,HDGF
453,2081,1.21880513515027e-06,3.29849073834311e-05,ARHGEF11
454,2121,5.55e-17,3.0053560136053704e-15,CADM3
456,2140,5.55e-17,3.0053560136053704e-15,TAGLN2
457,2144,5.55e-17,3.0053560136053704e-15,KCNJ10
459,2148,2.2204460492503099e-16,1.00733054830801e-14,IGSF8
460,2149,1.32116539930394e-13,5.3549851947611696e-12,ATP1A2
461,2151,0.000261167942947,0.0056760266675067,CASQ1
462,2153,5.55e-17,3.0053560136053704e-15,PEA15
466,2159,4.86277684785819e-14,2.00820820369025e-12,NCSTN
467,2177,8.31206580953481e-06,0.0002100976073048,TSTD1
468,2183,3.25937806744392e-08,9.90661387245247e-07,PFDN2
472,2191,5.55e-17,3.0053560136053704e-15,ADAMTS4
473,2192,5.97245861433393e-06,0.0001525479619829,NDUFS2
475,2197,5.55e-17,3.0053560136053704e-15,PCP4L1
476,2199,0.0001939680899021,0.0042870575237539,SDHC
477,2224,2.04872319109484e-09,6.677625378907e-08,UHMK1
479,2230,5.55e-17,3.0053560136053704e-15,RGS4
480,2231,6.87900664446683e-05,0.0015928159654504,RGS5
481,2236,1.94014915244622e-10,6.7055892679475e-09,PBX1
482,2245,5.55e-17,3.0053560136053704e-15,MGST3
483,2246,9.34366760851901e-07,2.55665017928332e-05,ALDH9A1
484,2248,8.69344666365457e-05,0.001989625930798,TMCO1
486,2257,0.0004238455024597,0.0089696314720244,POGK
487,2269,5.85402718181749e-05,0.0013658121584753,CREG1
488,2275,7.75221886684108e-10,2.59442119377424e-08,MPC2
489,2276,3.6637359812630205e-15,1.59362840650291e-13,DCAF6
491,2290,5.55e-17,3.0053560136053704e-15,ATP1B1
492,2291,2.59971089100475e-09,8.41974759097436e-08,NME7
